,2018-2019,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021
1,10.0,10.0,10.0,10.0,17.0,9.0,10.0,10.0,10.0
2,17692,10385,19519,20115,23885,22577,25038,31731,31731
3,11,26,31,33,34,33,18,9,23
4,,,,,,1,,,
5,,,,,3,1,2,,1
6,,,,,,2847,,,
7,,,,1,,,,,
8,7,23,27,35,38,34,24,9,23
9,4,10,11,11,12,9,5,2,6
10,55,88,100,100,97,100,100,67,74
11,23,14,,,3,1,,14,20
12,29,68,82,87,89,87,47,14,230
13,,2,4,10,4,3,1,1,
14,,,,,,1,,,
15,45,42,52,39,44,52,22,33,26
16,36,31,29,27,24,18,44,11,39
17,18,27,19,33,32,30,33,56,35
