,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Benfica,Benfica,Bayern Munich,Bayern Munich,Bayern Munich,Lille,Lille,Lille
1,8.0,22.0,22.0,29.0,20.0,5.0,8.0,17.0
2,"€57,692.00","€57,692.00","€69,231.00","GROSS P/W
(IN EUR)","€174,808.00","€174,808.00","€174,808.00","€174,808.00"
3,24,24,17,12,17,19,23,25
4,,2,,,1,3,1,2
5,,,,,,1,4,5
6,,952,,,589,494,1271,825
7,,,,,,,,
8,9,12,4,10,10,15,9,20
9,8,13,10,2,6,9,14,8
10,46%,92%,35%,75%,24%,84%,61%,80%
11,13,3,26,8,26,4,11,5
12,52%,89%,50%,34%,50%,73%,61%,66%
13,4,6,3,1,2,3,4,6
14,2,1,,,1,,,1
15,46%,92%,76%,8%,59%,63%,61%,32%
16,25%,4%,12%,17%,18%,5%,30%,44%
17,29%,4%,12%,75%,24%,32%,9%,24%
