,2021-2022,2018-2019,2019-2020,2020-2021
0,Fiorentina,Fiorentina,Fiorentina,Fiorentina
1,13.5,13.5,13.5,13.5
2,"€249,231.00","GROSS P/W
(IN EUR)","€249,231.00","€249,231.00"
3,15,10,30,37
4,7,,6,21
5,1,,,3
6,154,,250,139
7,,,,
8,11,2,30,52
9,3,1,7,8
10,80%,10%,43%,92%
11,3,25,23,4
12,100%,26%,79%,97%
13,2,,4,1
14,,,1,
15,53%,0,27%,24%
16,27%,50%,37%,32%
17,20%,50%,37%,43%
