,2018-2019,2021-2022
0,Barcelona,Barcelona
1,30.0,15.0
2,"€27,885.00","€57,692.00"
3,1,17
4,,2
5,,1
6,,510
7,,
8,2,16
9,,4
10,,76%
11,1,6
12,3%,85%
13,,1
14,,
15,0,18%
16,0,35%
17,100%,47%
