,2018-2019,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,18.0,11.0,11.0,11.0,19.0,10.0,9.0
2,174808.0,53462.0,53462.0,53462.0,174808.0,174808.0,174808.0
3,27.0,12.0,18.0,33.0,33.0,33.0,32.0
4,5.0,0.0,1.0,3.0,3.0,3.0,7.0
5,4.0,1.0,2.0,6.0,6.0,1.0,3.0
6,399.0,0.0,1343.0,875.0,895.0,856.0,341.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.0,5.0,18.0,45.0,38.0,32.0,17.0
9,9.0,3.0,2.0,13.0,7.0,11.0,14.0
10,74.0,50.0,89.0,91.0,91.0,88.0,91.0
11,15.0,8.0,2.0,6.0,7.0,5.0,4.0
12,3.0,12.0,4.0,3.0,2.0,1.0,1.0
13,3.0,0.0,4.0,3.0,2.0,1.0,1.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,59.0,25.0,17.0,48.0,52.0,64.0,69.0
16,19.0,33.0,28.0,18.0,21.0,15.0,19.0
17,22.0,42.0,56.0,33.0,27.0,21.0,13.0
