,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,5.0,4.8,12.833,15.0
2,144231.0,144231.0,144231.0,144231.0,144231.0
3,3.0,10.0,3.0,36.0,35.0
4,1.0,0.0,0.0,2.0,3.0
5,3.0,3.0,3.0,4.0,2.0
6,232.0,0.0,0.0,1533.0,976.0
7,0.0,0.0,0.0,0.0,0.0
8,4.0,6.0,1.0,39.0,33.0
9,7.0,3.0,1.0,14.0,10.0
10,100.0,80.0,93.5,100.0,94.0
11,5.666666666666667,9.0,6.0,5.666666666666667,2.0
12,12.0,3.0,3.0,8.0,10.0
13,0.0,3.0,3.0,8.0,10.0
14,0.0,0.0,0.0,1.0,1.0
15,0.0,30.0,33.0,64.0,54.0
16,33.0,30.0,33.0,17.0,26.0
17,67.0,40.0,33.0,19.0,20.0
