,2021-2022,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,16.333,4.0,7.0,4.0,4.0,4.0,4.0
2,52885.0,19038.0,19231.0,19231.0,19231.0,52885.0,52885.0
3,15.0,27.0,21.0,29.0,24.0,23.0,29.0
4,2.0,0.0,4.0,2.0,0.0,0.0,0.0
5,1.8,2.0,1.8,1.0,3.0,2.0,1.0
6,361.0,0.0,394.0,1176.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,25.0,24.0,35.0,40.0,24.0,43.0
9,4.0,8.0,5.0,6.0,4.0,3.0,4.0
10,60.0,74.0,86.0,93.0,92.0,65.0,72.0
11,7.0,8.0,3.0,2.0,2.0,12.0,10.0
12,5.0,6.0,6.0,7.0,4.0,7.0,8.0
13,5.0,6.0,6.0,7.0,4.0,7.0,8.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,53.0,37.0,24.0,24.0,38.0,35.0,24.0
16,20.0,26.0,24.0,28.0,17.0,17.0,28.0
17,27.0,37.0,52.0,48.0,46.0,48.0,48.0
