,2018-2019,2021-2022,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021
1,20.0,19.0,28.0,29.0,28.0,22.0,16.0
2,67308.0,67308.0,67308.0,67308.0,67308.0,67308.0,67308.0
3,36.0,36.0,26.0,31.0,37.0,33.0,38.0
4,3.0,12.0,5.0,4.0,8.0,5.0,9.0
5,2.0,5.0,3.0,8.0,4.0,7.0,8.0
6,640.0,155.0,192.0,307.0,282.0,412.0,266.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22.0,21.0,5.0,13.0,9.0,20.0,14.0
9,18.0,12.0,16.0,15.0,23.0,14.0,18.0
10,56.0,58.0,31.0,32.0,73.0,67.0,76.0
11,17.0,15.0,28.0,27.0,10.0,12.0,9.0
12,6.0,3.0,5.0,6.0,4.0,5.0,3.0
13,6.0,3.0,5.0,6.0,4.0,5.0,3.0
14,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15,56.0,56.0,73.0,58.0,62.0,45.0,68.0
16,28.0,22.0,15.0,23.0,27.0,42.0,21.0
17,17.0,22.0,12.0,19.0,11.0,12.0,11.0
