,2019-2020,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,17.429,9.0,8.0,16.0,30.0,24.0
2,144231.0,144231.0,144231.0,144231.0,144231.0,144231.0
3,34.0,34.0,2.0,38.0,33.0,33.0
4,2.0,3.0,0.0,1.0,2.0,5.0
5,1.0,1.25,1.25,1.0,2.0,1.0
6,1485.0,1020.0,0.0,3420.0,1485.0,571.0
7,1.0,0.0,0.0,0.0,1.0,0.0
8,45.0,37.0,2.0,30.0,34.0,33.0
9,11.0,9.0,11.2,15.0,10.0,11.0
10,97.0,100.0,99.4,100.0,100.0,100.0
11,1.0,5.0,15.0,5.0,3.0,1.0
12,6.0,6.0,12.0,6.0,2.0,5.0
13,6.0,6.0,0.0,6.0,2.0,5.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,44.0,38.0,0.0,47.0,39.0,45.0
16,15.0,32.0,0.0,26.0,39.0,21.0
17,41.0,29.0,100.0,26.0,21.0,33.0
