,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
0,Monaco,Monaco,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid
1,12.833,21.0,28.0,29.0,28.0,22.0,16.0,19.0
2,€0.00,"€69,231.00",€0.00,"€200,385.00","€145,385.00","€145,385.00","GROSS P/W
(IN EUR)","€145,385.00"
3,18,36,29,35,17,15,30,34
4,3,6,4,10,3,1,6,6
5,3,9,1,4,4,2,10,5
6,386,467,374,226,299,632,364,431
7,,,,,,,,
8,11,18,7,19,5,6,13,34
9,4,19,18,17,11,7,15,11
10,78%,92%,55%,77%,47%,40%,83%,82%
11,4,3,14,8,13,10,6,6
12,47%,95%,76%,92%,68%,88%,79%,89%
13,2,6,5,5,2,1,6,5
14,,,,,,,,
15,44%,53%,76%,57%,65%,53%,70%,56%
16,44%,28%,10%,26%,35%,40%,23%,24%
17,11%,19%,14%,17%,0,7%,7%,21%
