,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,11.875,14.0,11.875,17.0,7.833,7.833,23.0,9.0
2,32135.0,40904.0,42327.0,42327.0,48846.0,48846.0,54231.0,54231.0,54231.0
3,13.0,32.0,35.0,36.0,21.0,36.0,25.0,5.0,38.0
4,0.0,10.0,7.0,4.0,4.0,9.0,1.0,0.0,6.0
5,1.0,7.0,4.0,7.0,7.0,4.0,4.0,5.25,8.0
6,0.0,210.0,296.0,728.0,298.0,338.0,1496.0,0.0,481.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11.0,21.0,34.0,43.0,16.0,49.0,27.0,1.0,50.0
9,6.0,13.0,9.0,7.0,6.0,6.0,5.0,3.0,9.0
10,54.0,72.0,60.0,92.0,43.0,100.0,80.0,20.0,87.0
11,6.0,11.0,17.0,3.0,14.0,9.75,9.0,13.0,5.0
12,1.0,5.0,2.0,4.0,12.0,3.0,1.0,12.0,1.0
13,1.0,5.0,2.0,4.0,0.0,3.0,1.0,0.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,31.0,53.0,40.0,53.0,43.0,39.0,24.0,40.0,47.0
16,31.0,19.0,20.0,19.0,33.0,19.0,16.0,40.0,26.0
17,38.0,28.0,40.0,28.0,24.0,42.0,60.0,20.0,26.0
