,2018-2019,2019-2020,2020-2021,2021-2022
1,30.0,24.0,20.0,15.0
2,4423,8077,38462,38462
3,20,18,12,6
4,,,,
5,,,1,
6,,,,
7,,,,
8,19,15,10,9
9,5,8,5,
10,100,100,100,100
11,5,,,5
12,53,64,46,40
13,2,1,3,1
14,,,,
15,45,44,58,50
16,30,44,17,33
17,25,11,25,17
