,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
0,Atletico Madrid,Benfica,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid
1,20.0,29.0,22.0,28.0,29.0,28.0,22.0,16.0,19.0
2,"€400,577.00","€400,000.00","€400,000.00","€400,000.00","GROSS P/W
(IN EUR)","€400,577.00","€400,577.00","€400,577.00","€400,577.00"
3,37,16,11,38,30,37,38,38,38
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,1,1
8,27,3,6,18,21,22,27,25,43
9,20,13,7,24,15,22,17,18,12
10,100%,94%,100%,100%,100%,100%,100%,100%,100%
11,,1,27,,,,,,
12,97%,53%,29%,100%,79%,97%,100%,100%,100%
13,,1,1,,1,1,,,2
14,,,,,,,,,
15,59%,94%,55%,74%,57%,59%,47%,68%,55%
16,24%,6%,36%,11%,23%,27%,42%,21%,21%
17,16%,0,9%,16%,20%,14%,11%,11%,24%
