,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid
1,33.0,22.0,28.0,29.0,28.0,20.0,22.0,16.0,19.0
2,"€182,519.00","€220,115.00","€227,808.00","€306,635.00","€307,692.00","€307,692.00","€307,692.00","€307,692.00","€307,692.00"
3,36,34,35,36,35,30,32,37,31
4,5,2,5,4,4,3,4,1,1
5,14,10,13,8,4,5,5,2,2
6,559,1442,593,792,689,862,674,3021,2508
7,,,,,,,,,
8,17,23,16,25,15,22,20,22,34
9,19,18,23,19,21,16,16,18,9
10,92%,97%,97%,100%,94%,97%,94%,92%,94%
11,3,1,1,,2,1,2,3,3
12,95%,89%,92%,95%,92%,79%,84%,97%,82%
13,6,7,4,7,3,9,4,9,6
14,,,,1,,1,,,
15,75%,59%,77%,58%,60%,57%,50%,68%,52%
16,17%,26%,9%,25%,26%,30%,44%,22%,23%
17,8%,15%,14%,17%,14%,13%,6%,11%,26%
