,2013-2014,2014-2015,2015-2016,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Espanyol,Espanyol,Espanyol,Espanyol,Real Betis,Roma,Roma,Marseille
1,10.0,10.0,10.0,10.0,10.0,11.0,24.0,16.0
2,"€38,135.00","€27,404.00","€74,038.00","€74,038.00","€74,038.00","€74,038.00","€74,038.00","€74,038.00"
3,35,2,36,29,33,32,21,29
4,,,,,,,,
5,,,,,,,,1
6,,,,,,,,
7,,1,,,,,,
8,40,3,62,31,47,45,29,31
9,14,,7,9,10,5,4,10
10,100%,50%,97%,97%,100%,100%,95%,100%
11,,37,3,10,4,2,13,7
12,92%,5%,95%,76%,87%,84%,55%,76%
13,3,,4,3,3,2,,4
14,,,,,,,,
15,40%,0,33%,31%,36%,56%,52%,52%
16,26%,0,19%,31%,21%,19%,19%,21%
17,34%,100%,47%,38%,42%,25%,29%,28%
