,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Liverpool,Lille,Lille,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
1,18.0,6.833,4.0,22.0,21.875,30.0,29.0,24.0,33.0
2,"€98,654.00",€0.00,"€51,459.00","€51,459.00","€51,459.00","€68,612.00","€98,654.00","€98,654.00","€98,654.00"
3,28,30,33,16,34,31,12,9,7
4,4,5,8,5,7,6,3,,3
5,1,,3,1,3,2,1,,
6,179,258,269,134,209,328,123,,44
7,,,,,,,,,
8,12,7,25,8,18,31,2,,
9,11,15,13,5,11,6,7,2,4
10,25%,40%,67%,44%,41%,71%,33%,22%,
11,30,18,13,16,24,9,21,24,18
12,74%,79%,87%,42%,89%,97%,32%,24%,18%
13,1,1,,,,2,,,
14,,,,,,,,,
15,82%,43%,45%,44%,53%,13%,75%,33%,86%
16,7%,33%,21%,25%,29%,48%,25%,33%,0
17,11%,23%,33%,31%,18%,39%,0,33%,14%
