,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Manchester City,Benfica,Valencia,Valencia,Valencia,Inter Milan,Juventus,Manchester City,Manchester City
1,27.0,29.0,19.0,14.0,19.0,13.857,21.0,25.0,35.0
2,"£250,000.00","£93,435.00","£80,000.00","£80,000.00","£250,000.00","GROSS P/W
(IN GBP)","£250,000.00","£250,000.00","£250,000.00"
3,36,1,10,28,35,26,25,17,28
4,1,,,1,1,1,1,,2
5,7,,,4,4,3,3,,3
6,3227,,,2117,2437,1850,1968,,1150
7,,,,,,,,,
8,25,2,5,31,50,16,16,11,18
9,19,,3,6,6,10,10,8,15
10,100%,100%,50%,89%,77%,77%,88%,76%,96%
11,1,,26,4,8,12,10,21,7
12,95%,7%,26%,74%,92%,68%,66%,45%,74%
13,7,,2,7,6,4,6,4,5
14,,,1,1,,,,,1
15,75%,0,60%,32%,34%,46%,68%,71%,68%
16,17%,0,20%,25%,17%,35%,20%,6%,14%
17,8%,100%,20%,43%,49%,19%,12%,24%,18%
