,2019-2020,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021
0,Manchester City,Real Sociedad,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Real Sociedad
1,25.0,9.0,19.0,15.0,26.0,18.0,22.0,25.0,8.0
2,"€55,769.00","€181,909.00","€182,965.00","€182,965.00","€182,965.00","€182,965.00","€182,965.00","€251,576.00","€55,769.00"
3,27,25,27,32,24,34,29,33,21
4,6,2,7,12,2,4,9,6,2
5,12,4,9,7,11,7,11,8,5
6,304,861,309,221,896,693,270,401,699
7,,,,,,,,,
8,15,10,21,32,18,32,18,14,6
9,11,15,12,11,12,10,15,17,11
10,81%,88%,96%,100%,92%,91%,97%,85%,81%
11,11,4,1,,2,4,2,7,6
12,71%,66%,71%,84%,63%,89%,76%,87%,55%
13,,4,5,8,2,6,5,2,4
14,,1,,,,,,,
15,70%,48%,78%,59%,58%,62%,90%,85%,67%
16,11%,32%,7%,19%,17%,21%,7%,6%,14%
17,19%,20%,15%,22%,25%,18%,3%,9%,19%
