,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.667,7.667,7.667,7.667,29.0,20.0,36.0,27.0,26.0
2,134615.0,134615.0,134615.0,134615.0,134615.0,134615.0,362885.0,362885.0,362885.0
3,25.0,15.0,33.0,33.0,27.0,31.0,8.0,20.0,28.0
4,4.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0
5,1.4,1.4,1.0,2.0,1.0,1.4,1.0,1.4,2.0
6,470.0,1269.0,0.0,1443.0,963.0,1327.0,0.0,1505.0,1835.0
7,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
8,43.0,22.0,50.0,34.0,20.0,29.0,9.0,19.0,22.0
9,3.0,4.0,6.0,12.0,12.0,10.0,2.0,5.0,7.0
10,80.0,100.0,100.0,100.0,74.0,94.0,100.0,80.0,68.0
11,5.0,7.5,7.5,7.5,14.0,5.0,1.0,11.0,9.0
12,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0
13,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,36.0,40.0,27.0,48.0,81.0,68.0,50.0,75.0,71.0
16,24.0,33.0,30.0,39.0,7.0,19.0,38.0,15.0,14.0
17,40.0,27.0,42.0,12.0,11.0,13.0,13.0,10.0,14.0
