,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,6.833,11.833,12.0,7.0
2,34615.0,34423.0,34423.0,34423.0,34423.0
3,3.0,24.0,31.0,30.0,34.0
4,1.0,8.0,6.0,6.0,10.0
5,1.0,3.0,1.0,6.0,11.0
6,102.0,161.0,234.0,321.0,261.0
7,0.0,0.0,0.0,0.0,0.0
8,1.0,7.0,21.0,24.0,20.0
9,2.0,10.0,8.0,10.0,17.0
10,67.5,67.0,39.0,73.0,91.0
11,4.0,11.0,26.0,9.0,4.0
12,12.0,3.0,12.0,5.0,4.0
13,0.0,3.0,0.0,5.0,4.0
14,0.0,0.0,0.0,0.0,0.0
15,67.0,50.0,42.0,57.0,71.0
16,0.0,33.0,26.0,20.0,21.0
17,33.0,17.0,32.0,23.0,9.0
