,2021-2022,2017-2018,2018-2019,2019-2020,2020-2021
1,11.0,11.0,11.0,11.0,11.0
2,36923.0,36923.0,36923.0,36923.0,36923.0
3,32.0,3.0,14.0,24.0,31.0
4,1.0,1.0,0.0,0.0,0.0
5,3.0,1.6666666666666667,1.0,1.0,1.6666666666666667
6,2803.0,103.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,28.0,0.0,10.0,20.0,25.0
9,14.0,2.0,5.0,11.0,11.0
10,100.0,33.0,86.0,88.0,97.0
11,3.5,5.0,3.0,4.0,2.0
12,9.0,12.0,5.0,6.0,6.0
13,9.0,0.0,5.0,6.0,6.0
14,0.0,0.0,1.0,1.0,0.0
15,22.0,67.0,43.0,38.0,26.0
16,41.0,33.0,36.0,25.0,26.0
17,38.0,0.0,21.0,38.0,48.0
