,2018-2019,2019-2020,2020-2021,2021-2022
0,Borussia Dortmund,Borussia Dortmund,Marseille,Marseille
1,18.0,18.0,6.0,16.0
2,"GROSS P/W
(IN EUR)","€19,038.00","€19,038.00","€19,038.00"
3,4,7,21,17
4,1,,2,
5,,,,
6,360,,817,
7,,,,
8,4,4,24,11
9,2,5,5,8
10,100%,14%,90%,59%
11,,20,17,15
12,31%,33%,55%,45%
13,,1,6,4
14,,,1,1
15,75%,86%,48%,71%
16,0,0,19%,18%
17,25%,14%,33%,12%
