,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Levante,Levante,Roma,Getafe
1,29.0,33.0,33.0,32.0,13.0,13.0,24.0,11.0
2,"€56,731.00","€56,731.00","€92,115.00","GROSS P/W
(IN EUR)","€92,115.00","€92,115.00","€92,115.00","€92,115.00"
3,5,6,19,14,28,34,31,18
4,2,,2,3,3,8,10,6
5,,,,1,2,2,3,1
6,133,,194,116,530,268,155,174
7,,,,,,,,
8,2,3,7,7,33,32,24,10
9,2,2,5,3,5,6,9,8
10,40%,50%,16%,21%,57%,71%,58%,61%
11,3,5,22,21,18,14,17,7
12,28%,21%,56%,37%,78%,89%,86%,100%
13,,,1,,1,2,1,3
14,,,,,,,,
15,40%,83%,32%,64%,25%,32%,52%,22%
16,40%,0,11%,14%,25%,18%,19%,50%
17,20%,17%,58%,21%,50%,50%,29%,28%
