,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.375,17.375,12.0,11.833,11.833,12.0,7.0,11.833,12.0,7.0
2,70481,124635,124615,124615,178077,106923,106923,106923,106923,106923
3,2,11,30,34,27,28,32,35,22,19
4,1,,2,,1,2,2,1,1,1
5,,,,,1,,1,,1,
6,101,,1268,,2368,1176,1424,3091,1907,1409
7,,,,,1,,1,,,
8,3,6,33,36,27,25,32,43,25,16
9,,5,9,10,10,10,10,11,7,8
10,50,73,93,97,100,96,100,100,95,84
11,1,3,5,3,1,3,,,8,13
12,5,29,81,89,71,74,84,92,58,50
13,,4,8,9,4,8,6,4,7,4
14,,,,1,1,1,1,,,1
15,100,73,33,41,52,46,47,49,64,63
16,0,9,40,32,22,29,28,23,18,26
17,0,18,27,26,26,25,25,29,18,11
