,2021-2022,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,7.0,11.833,11.833,11.833,12.0,7.0,11.833,12.0
2,71154.0,21154.0,39173.0,35577.0,35577.0,71154.0,71154.0,71154.0
3,26.0,1.0,6.0,12.0,21.0,26.0,25.0,32.0
4,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
5,3.0,1.5714285714285714,1.0,1.0,3.0,1.0,1.0,1.0
6,1060.0,0.0,0.0,0.0,1563.0,1944.0,1623.0,1324.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,17.0,14.0,4.0,13.0,18.0,19.0,20.0,32.0
9,13.0,3.0,2.0,4.0,8.0,7.0,8.0,14.0
10,92.0,92.0,50.0,92.0,86.0,85.0,64.0,94.0
11,3.0,4.0,34.0,14.0,14.0,8.0,18.0,2.0
12,2.0,12.0,4.0,3.0,1.0,5.0,3.0,7.0
13,2.0,0.0,4.0,3.0,1.0,5.0,3.0,7.0
14,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
15,73.0,100.0,50.0,25.0,57.0,38.0,52.0,66.0
16,23.0,0.0,17.0,42.0,24.0,38.0,20.0,19.0
17,4.0,0.0,33.0,33.0,19.0,23.0,28.0,16.0
