,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Stuttgart,Stuttgart,Roma,Roma,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea
1,1.5,5.25,14.0,13.0,18.0,30.0,17.0,33.0,25.0
2,"€114,353.00","€114,353.00","€114,353.00","€114,353.00","€114,353.00","GROSS P/W
(IN EUR)","€360,577.00","€360,577.00","€360,577.00"
3,30,19,30,26,27,33,20,19,34
4,2,,2,,2,1,2,1,3
5,,1,,2,1,,,,
6,1347,,1318,,1169,2871,855,1710,1012
7,,,,,,,1,1,
8,51,34,29,24,22,35,24,10,27
9,5,2,8,11,13,12,5,11,14
10,100%,95%,97%,96%,93%,100%,95%,100%,100%
11,,1,3,1,11,2,4,13,1
12,88%,56%,79%,68%,71%,87%,53%,50%,89%
13,2,2,6,6,4,7,3,,9
14,1,,,1,,,,,
15,23%,37%,60%,73%,63%,55%,50%,58%,53%
16,23%,16%,33%,8%,15%,21%,15%,32%,32%
17,53%,47%,7%,19%,22%,24%,35%,11%,15%
