,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,15.0,9.167,9.0,12.0,10.0,21.0,26.0,16.0,5.0
2,£30,£30,£00,£00,£00,£00,£80,£80,£80
3,28,13,28,37,36,34,20,19,35
4,,,2,3,2,,3,,
5,,,2,2,,2,,2,
6,,,1147,1088,1522,,502,,
7,,,,,,,,,1
8,34,8,37,35,24,30,18,22,30
9,8,6,7,12,17,15,6,4,16
10,100,62,89,100,94,94,90,79,100
11,9,5,7,,3,5,6,17,
12,74,43,74,97,95,89,53,50,92
13,3,,4,10,6,4,4,5,1
14,,,,,,,,,
15,43,62,46,51,69,62,60,58,60
16,21,31,21,32,22,21,5,21,14
17,36,8,32,16,8,18,35,21,26
