,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,13.857,12.0,13.857,4.0,13.857,15.0,31.0,24.0,19.0
2,85692.0,122692.0,158577.0,160250.0,279808.0,279808.0,279808.0,209808.0,209808.0,209808.0
3,31.0,22.0,36.0,33.0,34.0,34.0,29.0,20.0,20.0,24.0
4,10.0,9.0,22.0,16.0,24.0,29.0,11.0,12.0,7.0,4.0
5,2.0,1.0,6.0,4.0,8.0,2.0,4.0,2.0,3.0,3.5555555555555554
6,212.0,145.0,132.0,162.0,126.0,102.0,206.0,106.0,154.0,257.0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,29.0,10.0,36.0,29.0,46.0,24.0,21.0,16.0,12.0,13.0
9,8.0,9.0,11.0,13.0,7.0,16.0,13.0,9.0,10.0,7.0
10,77.0,55.0,92.0,97.0,100.0,100.0,83.0,70.0,55.0,42.0
11,8.0,10.0,3.0,3.0,7.666666666666667,1.0,8.0,7.0,10.0,19.0
12,3.0,1.0,4.0,1.0,1.0,2.0,12.0,12.0,1.0,1.0
13,3.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,26.0,41.0,36.0,52.0,44.0,53.0,48.0,85.0,75.0,67.0
16,26.0,41.0,33.0,18.0,15.0,32.0,28.0,10.0,10.0,17.0
17,48.0,18.0,31.0,30.0,41.0,15.0,24.0,5.0,15.0,17.0
