,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Lyon,Lyon,Lyon,Lyon,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
1,15.0,1.5,7.0,22.0,21.0,26.0,10.0,23.0,18.889
2,"€77,038.00","€208,210.00","€208,210.00","€208,254.00","€208,254.00","€208,254.00","GROSS P/W
(IN EUR)","€96,154.00","€96,154.00"
3,36,33,34,30,32,35,30,31,30
4,15,27,21,28,14,13,10,13,4
5,3,5,3,3,4,8,5,2,7
6,193,105,141,86,157,192,188,147,445
7,,,,,,,,,
8,38,29,33,35,28,31,25,19,17
9,12,14,13,9,12,7,8,10,11
10,94%,100%,100%,93%,81%,77%,73%,71%,67%
11,2,,,3,7,10,12,14,15
12,95%,87%,89%,81%,84%,92%,79%,82%,79%
13,6,6,5,3,1,2,7,2,
14,2,,,,,,,,
15,47%,64%,53%,53%,53%,51%,30%,45%,57%
16,25%,18%,24%,10%,19%,20%,40%,16%,10%
17,28%,18%,24%,37%,28%,29%,30%,39%,33%
