,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,17.0,22.0,19.0,14.0,19.0,19.0,23.0,19.0,19.0
2,40577,40577,40577,40577,40577,18654,26346,40577,40577
3,15,26,26,17,3,5,4,28,4
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,1,,,,,,
8,23,31,28,18,4,5,1,42,4
9,3,8,8,5,1,2,3,4,1
10,93,100,100,100,100,100,100,100,75
11,24,,,10,32,33,31,10,29
12,39,68,68,45,8,13,11,74,11
13,1,4,1,,,2,,1,1
14,,1,,,,,,,
15,33,31,27,29,67,80,50,18,50
16,27,23,27,35,0,0,50,43,25
17,40,46,46,35,33,20,0,39,25
