,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Espanyol,Espanyol,Atletico Madrid,Atletico Madrid,Atletico Madrid
1,10.0,10.0,22.0,16.0,19.0
2,"€40,385.00","€40,385.00","€40,385.00","GROSS P/W
(IN EUR)","€40,385.00"
3,22,32,17,31,26
4,1,3,,1,2
5,,,,1,1
6,1928,935,,2578,933
7,2,,,,1
8,28,36,9,17,30
9,6,9,9,15,8
10,100%,97%,88%,97%,81%
11,7,1,16,5,12
12,58%,84%,45%,82%,68%
13,6,7,3,3,5
14,1,,1,,1
15,27%,38%,59%,68%,46%
16,27%,34%,35%,19%,27%
17,45%,28%,6%,13%,27%
