,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Guingamp,Guingamp,Monchengladbach,Monchengladbach,Monchengladbach
1,9.0,9.0,6.0,15.0,9.833
2,"€10,673.00","€61,538.00","€61,538.00","€61,538.00","€61,538.00"
3,32,32,31,29,21
4,3,9,10,8,3
5,1,1,7,2,
6,644,286,220,217,320
7,,,,,
8,38,56,26,29,28
9,9,7,6,4,4
10,63%,100%,90%,69%,43%
11,15,,3,9,13
12,84%,84%,91%,85%,62%
13,2,3,3,3,2
14,,2,,1,
15,31%,13%,55%,34%,38%
16,31%,25%,16%,28%,24%
17,38%,63%,29%,38%,38%
