,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Valencia,Valencia,Valencia,Manchester City,Barcelona
1,19.0,23.0,17.0,35.0,15.0
2,"€192,308.00","€192,308.00","€192,308.00","€192,308.00","€192,308.00"
3,13,24,34,23,18
4,,2,4,7,4
5,1,1,5,2,3
6,,425,563,183,353
7,,,,,
8,3,8,30,11,11
9,6,10,8,13,7
10,15%,33%,76%,65%,94%
11,19,28,11,22,1
12,52%,63%,89%,61%,90%
13,,5,5,1,1
14,,,,,
15,54%,50%,38%,70%,72%
16,23%,33%,24%,13%,11%
17,23%,17%,38%,17%,17%
