,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,20.0,6.833,6.833,12.833,12.833,7.0
2,16154.0,21731.0,24615.0,24615.0,24615.0,24615.0
3,15.0,27.0,18.0,21.0,24.0,10.0
4,1.0,0.0,0.0,0.0,0.0,0.0
5,3.0,3.0,3.0,3.0,3.0,3.0
6,1279.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,1.0,0.0,0.0
8,12.0,37.0,26.0,38.0,16.0,9.0
9,5.0,5.0,5.0,3.0,8.0,4.0
10,100.0,93.0,100.0,86.0,25.0,50.0
11,17.5,9.0,17.5,7.0,27.0,27.0
12,1.0,5.0,4.0,4.0,2.0,2.0
13,1.0,5.0,4.0,4.0,2.0,2.0
14,0.0,1.0,0.0,0.0,0.0,0.0
15,47.0,30.0,28.0,33.0,67.0,80.0
16,27.0,19.0,39.0,24.0,13.0,10.0
17,27.0,52.0,33.0,43.0,21.0,10.0
