,2018-2019,2015-2016,2017-2018,2019-2020,2020-2021,2021-2022
1,5.0,4.0,1.0,26.0,19.0,12.0
2,260577.0,211543.0,211543.0,260577.0,260577.0,260577.0
3,37.0,8.0,18.0,29.0,34.0,32.0
4,0.0,0.0,2.0,1.0,2.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,0.0,795.0,2309.0,1488.0,2736.0
7,0.0,1.0,0.0,0.0,0.0,0.0
8,41.0,12.0,19.0,22.0,28.0,25.0
9,10.0,1.0,5.0,14.0,17.0,15.0
10,100.0,100.0,94.0,86.0,97.0,97.0
11,4.25,4.25,2.0,12.0,2.0,1.0
12,4.0,1.0,1.0,6.0,4.0,2.0
13,4.0,1.0,1.0,6.0,4.0,2.0
14,0.0,0.0,0.0,0.0,0.0,2.0
15,27.0,25.0,61.0,55.0,68.0,47.0
16,30.0,25.0,6.0,38.0,15.0,41.0
17,43.0,50.0,33.0,7.0,18.0,13.0
