,2018-2019,2021-2022
0,Monaco,Real Sociedad
1,5.0,9.0
2,"€8,077.00",€0.00
3,,6
4,,
5,,
6,,
7,,
8,,3
9,,2
10,,50%
11,,15
12,0%,16%
13,,
14,,
15,,50%
16,,17%
17,,33%
