,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Borussia Dortmund,Monchengladbach,Monchengladbach,Monchengladbach,Monchengladbach,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund
1,10.0,9.833,9.0,8.0,12.0,10.0,18.0,18.0,22.0
2,"€76,923.00","€1,654.00","€1,596.00","€1,904.00","€94,923.00","€95,827.00","€94,231.00","€76,923.00","€76,923.00"
3,22,,1,31,28,23,14,12,21
4,2,,,5,2,,1,,1
5,3,,,8,6,4,,1,1
6,829,,,413,1137,,697,,1259
7,,,,,,,,,
8,31,,,31,34,14,14,8,13
9,6,,,6,10,11,3,6,7
10,91%,,,87%,93%,48%,50%,50%,71%
11,3,,7,6,7,15,24,21,17
12,65%,,3%,91%,82%,68%,41%,35%,62%
13,6,,,4,3,3,2,1,2
14,1,,,,,,,,
15,64%,,100%,48%,39%,65%,57%,67%,67%
16,9%,,0,13%,29%,17%,36%,17%,14%
17,27%,,0,39%,32%,17%,7%,17%,19%
