,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,PSG,Barcelona,Barcelona,Barcelona,Barcelona,PSG,PSG,PSG,PSG
1,24.0,24.0,34.0,26.0,23.0,19.0,19.0,31.0,19.0
2,"€1,083,846.00","€550,288.00","€832,692.00","€832,692.00","€832,692.00","€1,083,846.00","€1,083,846.00","€1,083,846.00","€1,083,846.00"
3,18,26,33,34,30,20,17,15,22
4,9,9,22,24,13,19,15,13,13
5,5,8,7,14,11,13,7,6,6
6,157,193,117,127,204,94,96,102,142
7,,,,,,,,,
8,15,17,17,26,26,16,14,11,23
9,7,11,19,16,10,9,6,9,5
10,83%,73%,88%,100%,100%,100%,94%,100%,100%
11,3,7,5,,1,,1,,
12,47%,68%,87%,89%,79%,53%,45%,56%,58%
13,6,6,6,6,7,5,2,3,10
14,2,,,,1,1,,1,
15,61%,73%,79%,76%,70%,90%,82%,87%,64%
16,11%,12%,9%,9%,20%,5%,12%,7%,18%
17,28%,15%,12%,15%,10%,5%,6%,7%,18%
