,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Betis,Real Betis,Fiorentina,Fiorentina,Fiorentina,Fiorentina,Real Betis
1,11.0,11.0,13.5,13.5,13.5,13.5,11.0
2,"€39,173.00","€42,692.00","€42,692.00","€80,192.00","€80,192.00","€80,192.00","€80,192.00"
3,25,36,34,32,33,32,23
4,3,1,1,2,3,1,1
5,,,,1,1,,
6,722,3100,2979,1425,943,2744,1988
7,,,,1,,,1
8,39,59,37,38,41,48,20
9,6,9,13,8,10,6,10
10,92%,100%,100%,100%,100%,100%,96%
11,7,,1,1,1,2,8
12,66%,95%,89%,84%,87%,84%,62%
13,8,10,12,5,12,5,5
14,,,,,,,1
15,24%,25%,41%,22%,33%,25%,48%
16,32%,25%,26%,44%,33%,34%,22%
17,44%,50%,32%,34%,33%,41%,30%
