,2020-2021,2021-2022
0,Ajax,Ajax
1,19.0,22.0
2,"£200,000.00","£200,000.00"
3,32,23
4,8,8
5,8,4
6,220,216
7,,
8,13,13
9,14,15
10,75%,91%
11,8,3
12,94%,68%
13,2,4
14,,1
15,81%,74%
16,13%,13%
17,6%,13%
