,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Sevilla,Sevilla,Sevilla,Atletico Madrid,Atletico Madrid,Valencia,Valencia,Valencia,Strasbourg
1,22.0,28.0,23.0,29.0,28.0,23.0,17.0,19.0,2.5
2,€0.00,€0.00,€0.00,€0.00,"€144,500.00","€115,000.00","€171,923.00","€27,692.00","€27,692.00"
3,35,26,31,31,25,33,29,27,35
4,15,8,16,12,7,6,6,4,11
5,3,1,3,5,2,1,2,1,3
6,126,118,130,142,161,269,267,268,217
7,,,,,,,,,
8,32,13,31,18,10,18,29,17,30
9,9,10,10,14,16,12,6,4,12
10,57%,27%,71%,68%,44%,48%,59%,37%,80%
11,15,19,9,12,25,18,13,20,7
12,92%,68%,82%,82%,66%,87%,76%,71%,92%
13,2,,2,,,1,,,
14,,,,,,,,,
15,46%,58%,39%,55%,64%,39%,34%,22%,43%
16,26%,23%,29%,26%,20%,42%,24%,30%,31%
17,29%,19%,32%,19%,16%,18%,41%,48%,26%
