,2019-2020,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club
1,10.0,10.0,17.0,9.0,10.0,10.0,10.0,10.0
2,"€114,808.00","€114,808.00","€114,808.00","€114,808.00","€114,808.00","€114,808.00","€114,808.00","€114,808.00"
3,38,19,25,38,38,38,38,38
4,6,1,8,5,7,13,6,8
5,1,,1,6,6,4,6,5
6,490,1307,206,554,408,233,398,347
7,,,,,,,,
8,30,12,18,32,41,39,31,25
9,12,8,10,10,11,10,9,13
10,89%,79%,84%,82%,82%,95%,71%,84%
11,4,7,5,7,7,2,11,6
12,58%,50%,66%,100%,100%,100%,380%,100%
13,3,1,3,4,3,3,1,4
14,,,1,,,,,
15,34%,47%,44%,50%,26%,34%,29%,37%
16,32%,26%,32%,16%,34%,37%,34%,34%
17,34%,26%,24%,34%,39%,29%,37%,29%
