,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Bayern Munich,Borussia Dortmund,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich
1,36.0,22.0,28.0,29.0,22.0,29.0,20.0,27.0,26.0
2,"€400,577.00","€303,750.00","€306,654.00","€442,308.00","€442,308.00","€442,308.00","€400,577.00","€400,577.00","€400,577.00"
3,31,33,31,32,33,30,33,29,34
4,34,20,17,30,30,29,22,41,35
5,4,6,5,2,6,2,8,7,2
6,81,139,146,88,93,75,134,60,84
7,,,,,,,,,
8,30,36,13,14,20,21,31,37,36
9,13,10,21,19,16,15,12,7,11
10,100%,94%,90%,91%,94%,80%,100%,97%,100%
11,,2,4,4,2,9,1,1,
12,91%,97%,91%,94%,97%,88%,97%,85%,100%
13,5,4,,2,5,1,2,4,2
14,,,,,,,,,
15,74%,64%,74%,84%,76%,77%,73%,69%,71%
16,13%,15%,13%,9%,18%,10%,15%,17%,15%
17,13%,21%,13%,6%,6%,13%,12%,14%,15%
