,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Sporting Lisbon,Sporting Lisbon,Sporting Lisbon,Sporting Lisbon,Sporting Lisbon,Real Betis,Real Betis,Real Betis,Real Betis
1,9.167,10.0,7.0,6.0,17.0,10.0,11.0,11.0,11.0
2,"€56,846.00","€59,077.00","€49,038.00","€66,923.00","€66,923.00","€66,923.00","€66,923.00","€66,923.00","€66,923.00"
3,28,30,27,32,24,30,13,27,33
4,4,1,2,2,1,,,2,2
5,,,,2,1,5,,,3
6,611,2441,1069,1405,2128,,,627,901
7,,,,,,,,,
8,17,26,14,31,16,37,24,24,25
9,15,8,15,13,12,8,3,8,12
10,100%,93%,93%,97%,100%,87%,85%,44%,61%
11,,2,3,1,,4,6,19,16
12,93%,88%,79%,94%,71%,79%,34%,71%,87%
13,7,11,6,9,3,7,6,5,5
14,,1,,,,,1,,
15,68%,60%,81%,63%,67%,37%,31%,44%,55%
16,25%,33%,15%,22%,21%,17%,23%,22%,18%
17,7%,7%,4%,16%,13%,47%,46%,33%,27%
