,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,19.0,27.0,29.0,33.0,33.0,32.0,17.0,26.0,30.0
2,468846,196269,188615,368115,380981,384615,468846,421923,421923
3,28,29,36,32,29,27,35,28,28
4,,2,2,1,3,5,4,2,1
5,4,4,7,10,12,7,5,10,3
6,,1029,1528,2737,825,452,663,1058,2103
7,,,,,,,,,
8,36,10,36,31,28,32,17,21,18
9,7,14,13,11,8,7,18,9,12
10,93,83,100,100,97,96,89,86,89
11,4,5,1,3,4,3,6,7,5
12,74,85,95,84,76,71,92,74,74
13,2,6,7,3,6,4,2,6,3
14,,,,,,,,,
15,50,86,78,72,72,48,69,61,64
16,14,7,6,19,17,37,26,25,21
17,36,7,17,9,10,15,6,14,14
