,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona
1,20.0,24.0,34.0,26.0,23.0,25.0,30.0,24.0,15.0
2,"$ 564,926","GROSS P/Y
(IN USD)","$ 195,476","$ 171,905","$ 201,125","$ 242,540","$ 564,926","$ 564,926","$ 551,001"
3,18,26,27,30,25,30,35,35,27
4,,2,5,2,2,2,4,1,1
5,,,1,1,,,2,,1
6,,1155,477,1293,1096,1316,788,3092,2093
7,,,,,,,,,
8,20,24,15,23,24,23,30,36,19
9,5,11,17,14,9,14,16,13,10
10,100%,100%,96%,100%,100%,97%,100%,100%,93%
11,2,,6,1,3,7,1,,3
12,47%,68%,71%,79%,66%,79%,92%,92%,71%
13,3,5,6,10,6,8,6,15,10
14,,,,,,,,,1
15,44%,73%,81%,70%,68%,80%,74%,63%,56%
16,28%,12%,11%,13%,24%,17%,20%,20%,30%
17,28%,15%,7%,17%,8%,3%,6%,17%,15%
