,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Sociedad,Real Sociedad,Real Sociedad,Real Madrid,Bayern Munich,Real Madrid,Fiorentina
1,6.5,6.5,9.0,19.0,36.0,26.0,13.5
2,"€68,596.00","€68,654.00","€70,577.00","€140,192.00","€86,346.00","€86,346.00","€140,192.00"
3,32,15,35,14,3,13,25
4,2,,,,,2,1
5,,4,4,2,,,2
6,1079,,,,,415,1730
7,,,,,,,
8,29,20,56,15,1,8,28
9,11,2,7,5,2,6,7
10,75%,100%,91%,100%,67%,69%,72%
11,8,4,4,6,14,17,12
12,84%,71%,92%,37%,19%,34%,68%
13,5,,4,2,,,5
14,,,1,,,,1
15,41%,40%,31%,64%,100%,69%,48%
16,31%,33%,20%,0,0,23%,12%
17,28%,27%,49%,36%,0,8%,40%
