,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Real Madrid
1,27.0,28.0,29.0,22.0,29.0,20.0,36.0,27.0,30.0
2,"€189,827.00","€191,654.00","€192,308.00","€192,308.00","€432,692.00","GROSS P/W
(IN EUR)","€432,692.00","€432,692.00","€432,692.00"
3,28,19,30,32,23,31,28,32,30
4,2,2,2,4,2,3,1,2,2
5,6,1,1,4,2,4,1,3,3
6,1199,833,1247,627,777,843,2498,1338,1321
7,,,,,,,,,
8,16,12,14,17,10,27,24,43,26
9,15,11,17,16,13,11,14,8,12
10,93%,100%,90%,91%,74%,94%,96%,94%,100%
11,2,,3,4,6,2,4,2,
12,82%,56%,88%,94%,68%,91%,82%,94%,79%
13,,,2,1,1,4,,4,2
14,,,,,,,,,
15,89%,68%,83%,72%,87%,71%,79%,69%,70%
16,4%,21%,13%,22%,9%,16%,11%,19%,20%
17,7%,11%,3%,6%,4%,13%,11%,13%,10%
