,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Fiorentina,Manchester City,Manchester City,Schalke 04,Schalke 04,Schalke 04,Schalke 04,Schalke 04,Schalke 04,Fiorentina
1,13.5,19.0,15.0,11.0,18.0,16.333,17.0,16.333,16.333,13.5
2,"€76,231.00",€0.00,"€73,250.00","€44,173.00","€45,712.00","€76,923.00","€76,923.00","€75,000.00","€39,423.00",€0.00
3,21,13,16,1,22,24,28,16,15,5
4,,1,,,,,1,,,
5,,,,,,,,,,
6,,1029,,,,,2449,,,
7,,,,,,,,,,
8,17,10,18,,24,23,43,29,33,7
9,11,5,5,1,6,8,5,4,1,1
10,100%,85%,100%,100%,95%,92%,100%,94%,93%,40%
11,,2,,,6,2,3,7,4,27
12,58%,34%,94%,3%,65%,71%,82%,47%,44%,13%
13,1,4,3,,6,6,6,2,2,1
14,,,,,,1,1,,,
15,62%,69%,31%,100%,36%,50%,25%,25%,7%,20%
16,19%,8%,31%,0,32%,25%,25%,31%,33%,20%
17,19%,23%,38%,0,32%,25%,50%,44%,60%,60%
