,2020-2021,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,17.0,16.6,17.0,5.0,27.0,17.0
2,126923.0,76923.0,76923.0,126923.0,126923.0,126923.0
3,29.0,30.0,21.0,20.0,22.0,31.0
4,7.0,8.0,2.0,4.0,5.0,6.0
5,4.0,19.0,2.0,7.0,2.0,2.0
6,220.0,293.0,684.0,313.0,228.0,283.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,33.0,27.0,16.0,20.0,16.0
9,12.0,9.0,3.0,10.0,4.0,8.0
10,69.0,90.0,71.0,70.0,64.0,65.0
11,10.0,3.0,7.0,8.0,16.0,11.0
12,12.0,1.0,12.0,12.0,1.0,2.0
13,0.0,1.0,0.0,0.0,1.0,2.0
14,0.0,1.0,1.0,0.0,0.0,0.0
15,48.0,60.0,38.0,60.0,45.0,45.0
16,28.0,20.0,24.0,30.0,36.0,23.0
17,24.0,20.0,38.0,10.0,18.0,32.0
