,2021-2022,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,13.0,6.0,6.875,1.5,8.0,6.0
2,27692.0,27692.0,27692.0,27692.0,27692.0,27692.0
3,31.0,1.0,7.0,8.0,24.0,34.0
4,1.0,0.0,0.0,0.0,1.0,1.0
5,10.0,7.333333333333333,7.333333333333333,7.333333333333333,6.0,6.0
6,2683.0,0.0,0.0,0.0,2104.0,3060.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,38.0,4.0,11.0,7.0,16.0,41.0
9,4.0,7.4,3.0,3.0,17.0,10.0
10,100.0,100.0,57.0,38.0,100.0,100.0
11,19.0,3.0,29.0,25.0,19.0,19.0
12,7.0,12.0,12.0,1.0,7.0,4.0
13,7.0,0.0,0.0,1.0,7.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,52.0,0.0,71.0,50.0,71.0,62.0
16,23.0,0.0,0.0,25.0,8.0,24.0
17,26.0,100.0,29.0,25.0,21.0,15.0
