,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,PSG,PSG,PSG,Tottenham,Tottenham,Tottenham
1,20.0,19.0,19.0,16.0,15.0,5.0
2,€0.00,"€80,047.00","€80,047.00","€83,077.00","€80,047.00","€80,962.00"
3,4,33,32,28,18,16
4,,4,9,,1,1
5,2,4,4,2,1,1
6,,445,266,,945,992
7,,,,,,
8,,17,39,18,9,10
9,3,15,7,6,8,5
10,25%,55%,84%,54%,61%,69%
11,10,19,6,17,9,5
12,21%,87%,89%,74%,47%,100%
13,1,2,5,6,5,3
14,,,,,,
15,75%,79%,34%,36%,56%,50%
16,25%,12%,22%,36%,22%,19%
17,0,9%,44%,29%,22%,31%
