,2018-2019,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
0,PSV,PSV,PSV,PSV,PSV,PSV,Tottenham,Tottenham
1,6.0,6.0,18.0,6.0,1.0,6.0,15.0,5.0
2,"€88,462.00","€11,154.00","€85,765.00","€85,765.00","€88,462.00","€88,462.00","€88,462.00","€88,462.00"
3,33,1,5,25,32,14,21,25
4,14,,,2,8,3,1,3
5,12,,,1,7,1,3,1
6,204,,,464,270,235,1209,187
7,,,,,,,,
8,24,,1,9,24,9,15,6
9,16,1,2,11,13,5,7,12
10,100%,,,32%,84%,57%,62%,16%
11,,1,6,23,5,6,13,28
12,97%,4%,15%,74%,94%,100%,55%,66%
13,4,,1,,5,2,3,1
14,,,,,,,,
15,76%,100%,60%,56%,75%,50%,48%,64%
16,15%,0,40%,36%,16%,29%,24%,4%
17,9%,0,0,8%,9%,21%,29%,32%
