,2019-2020,2020-2021,2021-2022
0,Real Madrid,Real Madrid,Real Madrid
1,17.0,26.0,30.0
2,"€144,231.00","€144,231.00","€144,231.00"
3,19,22,33
4,2,1,4
5,,6,4
6,510,980,381
7,,,
8,2,4,13
9,11,11,15
10,63%,45%,52%
11,16,19,17
12,50%,58%,87%
13,,,2
14,,,
15,74%,68%,67%
16,21%,23%,21%
17,5%,9%,12%
