,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Athletic Club,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,PSG,Athletic Club,Athletic Club,Athletic Club
1,10.0,5.0,1.5,6.5,6.5,19.0,10.0,10.0,10.0
2,"€80,769.00",€0.00,€0.00,€0.00,"€87,212.00","€87,308.00","€80,769.00","€80,769.00","GROSS P/W
(IN EUR)"
3,14,37,21,21,35,22,35,33,23
4,1,3,,,3,2,2,2,1
5,2,4,1,3,2,3,2,2,3
6,1015,1104,,,1029,858,1560,1425,1682
7,,,,,,,,,
8,10,25,22,25,47,15,40,29,19
9,5,20,5,6,9,10,9,12,4
10,79%,100%,81%,100%,100%,86%,100%,97%,91%
11,6,,16,11,,16,,1,5
12,37%,88%,55%,55%,92%,58%,92%,50%,230%
13,3,13,6,10,9,4,8,7,3
14,,2,,,,,,,
15,50%,43%,33%,33%,51%,82%,34%,36%,26%
16,14%,32%,33%,24%,20%,9%,37%,33%,30%
17,36%,24%,33%,43%,29%,9%,29%,30%,43%
