,2021-2022,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,14.0,1.0,25.0,17.0,27.0,10.0
2,57692.0,57692.0,57692.0,57692.0,57692.0,57692.0
3,27.0,32.0,22.0,24.0,22.0,29.0
4,24.0,11.0,2.0,3.0,10.0,8.0
5,4.0,2.0,2.25,2.25,2.0,1.0
6,87.0,138.0,496.0,438.0,130.0,233.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,34.0,20.0,4.0,16.0,15.0,21.0
9,5.0,6.0,9.0,6.0,6.0,8.0
10,96.0,44.0,45.0,63.0,68.0,69.0
11,1.0,24.0,18.0,20.0,9.0,9.0
12,12.0,1.0,12.0,4.0,3.0,4.0
13,0.0,1.0,0.0,4.0,3.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,59.0,28.0,45.0,50.0,45.0,34.0
16,19.0,31.0,36.0,25.0,45.0,34.0
17,22.0,41.0,18.0,25.0,9.0,31.0
