,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,PSG,PSG,PSG,PSG,PSG,PSG,Juventus,Juventus,Juventus
1,25.0,21.0,24.0,20.0,19.0,19.0,22.0,21.0,20.0
2,"€8,558.00","€45,788.00","€55,212.00","€56,962.00","€57,500.00","€172,500.00","€172,500.00","€172,500.00","€172,500.00"
3,25,21,24,27,33,14,28,34,32
4,2,4,1,3,1,2,1,4,
5,,1,1,2,5,1,1,2,2
6,593,284,1607,645,2359,531,1912,578,
7,,,,,,1,,,
8,2,19,10,12,19,8,22,28,25
9,13,6,12,16,17,7,9,6,12
10,48%,48%,79%,74%,82%,86%,75%,74%,88%
11,13,14,12,8,7,2,13,10,6
12,66%,55%,63%,71%,87%,37%,74%,89%,84%
13,2,1,4,2,2,3,6,6,5
14,,,1,,,,1,1,
15,80%,76%,71%,74%,76%,93%,71%,59%,53%
16,12%,14%,21%,15%,15%,7%,11%,26%,22%
17,8%,10%,8%,11%,9%,0,18%,15%,25%
