,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Tottenham,PSG,PSG,PSG,PSG,PSG,Tottenham,Tottenham,Tottenham
1,16.0,25.0,21.0,24.0,20.0,19.0,26.0,15.0,5.0
2,"£90,000.00","£57,935.00","£75,000.00",£0.00,"£75,000.00","£90,000.00","£90,000.00","GROSS P/W
(IN GBP)","£90,000.00"
3,35,36,29,36,37,6,32,30,34
4,4,5,7,9,12,,10,3,2
5,4,11,5,4,5,1,,4,6
6,561,388,269,258,202,,212,470,888
7,,,,,,,,,
8,29,11,18,12,15,6,17,18,21
9,8,19,11,21,21,2,12,10,14
10,71%,50%,76%,72%,78%,33%,78%,47%,56%
11,12,18,9,12,8,10,11,23,17
12,92%,92%,76%,95%,97%,43%,84%,79%,89%
13,3,2,3,3,,,3,1,4
14,,,,,,,,,
15,43%,69%,59%,78%,70%,50%,59%,50%,59%
16,26%,22%,34%,17%,16%,17%,3%,17%,12%
17,31%,8%,7%,6%,14%,33%,38%,33%,29%
