,2020-2021,2021-2022
0,Athletic Club,Athletic Club
1,10.0,10.0
2,"€28,846.00","€28,846.00"
3,1,31
4,,1
5,,
6,,1166
7,,
8,,13
9,,12
10,,26%
11,9,25
12,6%,82%
13,,5
14,,
15,0,39%
16,100%,29%
17,0,32%
