,2018-2019,2020-2021,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2021-2022
1,19.0,24.0,21.0,24.0,20.0,19.0,31.0,19.0
2,349615.0,36981.0,36981.0,38731.0,139538.0,154615.0,349615.0,349615.0
3,24.0,28.0,1.0,6.0,19.0,28.0,16.0,30.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2576.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.0,26.0,0.0,0.0,9.0,21.0,12.0,31.0
9,10.0,11.0,9.857142857142858,4.0,13.0,14.0,8.0,9.0
10,96.0,93.0,93.28571428571429,83.0,100.0,96.0,88.0,97.0
11,5.0,5.0,4.0,8.0,12.0,8.0,7.0,4.0
12,4.0,5.0,12.0,1.0,7.0,8.0,6.0,6.0
13,4.0,5.0,0.0,1.0,7.0,8.0,6.0,6.0
14,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
15,71.0,61.0,100.0,83.0,79.0,79.0,88.0,63.0
16,13.0,11.0,0.0,17.0,16.0,14.0,0.0,27.0
17,17.0,29.0,0.0,0.0,5.0,7.0,13.0,10.0
