,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.0,6.0,17.0,20.0,12.833,12.833,15.0
2,124577.0,124577.0,124231.0,101346.0,69231.0,69231.0,69231.0
3,29.0,32.0,31.0,16.0,21.0,23.0,32.0
4,4.0,6.0,8.0,4.0,4.0,3.0,4.0
5,3.6666666666666665,6.0,9.0,2.0,1.0,2.0,2.0
6,302.0,460.0,336.0,347.0,419.0,522.0,476.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.0,33.0,17.0,19.0,33.0,24.0,17.0
9,16.0,12.0,16.0,5.0,5.0,9.0,10.0
10,34.0,100.0,97.0,100.0,95.0,87.0,75.0
11,23.0,8.0,1.0,8.0,1.0,5.0,10.0
12,3.0,6.0,4.0,1.0,3.0,3.0,4.0
13,3.0,6.0,4.0,1.0,3.0,3.0,4.0
14,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,76.0,63.0,74.0,31.0,33.0,57.0,47.0
16,17.0,22.0,19.0,38.0,24.0,17.0,25.0
17,7.0,16.0,6.0,31.0,43.0,26.0,28.0
