,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Porto,Porto,Porto,Sevilla,Sevilla,Sevilla
1,17.0,17.0,23.0,26.0,19.0,12.0
2,"€24,481.00","€57,692.00","€143,269.00","€143,269.00","€143,269.00","€143,269.00"
3,29,19,25,28,32,26
4,3,,2,3,,2
5,2,3,1,3,3,2
6,659,,629,532,,504
7,,,,,,
8,8,5,8,16,14,15
9,18,13,15,15,14,11
10,83%,42%,52%,75%,47%,42%
11,8,22,20,12,23,18
12,91%,56%,74%,74%,84%,68%
13,1,2,2,5,2,2
14,,,,,,
15,66%,95%,80%,57%,63%,46%
16,31%,5%,12%,25%,16%,46%
17,3%,0,8%,18%,22%,8%
