,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Sevilla,Manchester City,Manchester City,Manchester City,Manchester City,Sevilla,Sevilla,Sevilla,Sevilla
1,19.0,19.0,15.0,26.0,18.0,21.0,13.0,26.0,12.0
2,"€97,200.00","€97,200.00","€97,200.00","€89,154.00","€76,654.00","€76,923.00","€76,923.00","€76,923.00","€76,923.00"
3,34,30,35,34,24,26,32,38,25
4,,4,,,,1,1,,
5,6,7,8,8,,,5,7,3
6,,445,,,,1763,2712,,
7,,,,,,,,,
8,31,17,30,22,17,28,41,33,16
9,13,13,12,16,7,9,8,17,10
10,100%,60%,66%,71%,50%,77%,97%,97%,76%
11,1,12,13,12,21,8,1,1,6
12,89%,79%,92%,89%,63%,68%,84%,100%,66%
13,4,,3,1,2,2,8,4,4
14,,,,,,,,,
15,59%,67%,63%,50%,54%,38%,44%,50%,44%
16,15%,13%,20%,26%,25%,23%,19%,34%,44%
17,26%,20%,17%,24%,21%,38%,38%,16%,12%
