,2018-2019,2016-2017,2017-2018,2019-2020,2021-2022
1,17.0,17.0,4.0,10.0,19.0
2,17308.0,20308.0,20385.0,48077.0,48077.0
3,20.0,26.0,31.0,23.0,33.0
4,4.0,2.0,3.0,2.0,4.0
5,2.0,1.0,8.0,1.0,3.0
6,257.0,706.0,790.0,803.0,451.0
7,0.0,0.0,0.0,0.0,0.0
8,10.0,7.0,15.0,10.0,22.0
9,8.0,16.0,14.0,10.0,11.0
10,65.0,62.0,94.0,83.0,64.0
11,20.0,16.0,5.0,8.0,14.0
12,4.0,2.0,1.0,4.0,5.0
13,4.0,2.0,1.0,4.0,5.0
14,0.0,0.0,0.0,0.0,0.0
15,80.0,69.0,74.0,70.0,33.0
16,10.0,23.0,19.0,17.0,24.0
17,10.0,8.0,6.0,13.0,42.0
